Depth1,Depth2,Max,Min,Draw,Max_point_avg,Min_point_avg
0,0,28,22,0,4.64,4.36
0,1,0,50,0,0.64,8.36
0,2,0,50,0,0.4,8.6
0,3,0,50,0,0.28,8.72
0,4,0,50,0,0.32,8.68
1,0,50,0,0,7.96,1.04
1,1,16,34,0,3.88,5.12
1,2,6,44,0,2.04,6.96
1,3,6,44,0,1.6,7.4
1,4,4,46,0,1.78,7.22
2,0,50,0,0,7.98,1.02
2,1,34,16,0,5.54,3.46
2,2,26,24,0,4.22,4.78
2,3,16,34,0,3.12,5.88
2,4,11,39,0,2.94,6.06
3,0,50,0,0,8.0,1.0
3,1,42,8,0,6.16,2.84
3,2,24,26,0,3.88,5.12
3,3,22,28,0,3.6,5.4
3,4,23,27,0,4.04,4.96
4,0,50,0,0,7.86,1.14
4,1,33,17,0,5.3,3.7
4,2,24,26,0,4.24,4.76
4,3,20,30,0,3.54,5.46
4,4,24,26,0,4.06,4.94
